Team,P,W,D,L,GF,GA,GD,Pts,Source
FC Inter,7,4,2,1,8,4,4,14,https://www.suomifutis.com/veikkausliiga/
AC Oulu,7,4,0,3,12,7,5,12,https://www.suomifutis.com/veikkausliiga/
TPS,6,3,3,0,9,5,4,12,https://www.suomifutis.com/veikkausliiga/
KuPS,7,3,3,1,9,7,2,12,https://www.suomifutis.com/veikkausliiga/
HJK,7,3,2,2,9,4,5,11,https://www.suomifutis.com/veikkausliiga/
VPS,6,2,3,1,5,4,1,9,https://www.suomifutis.com/veikkausliiga/
FC Lahti,6,2,1,3,5,7,-2,7,https://www.suomifutis.com/veikkausliiga/
SJK,6,1,3,2,5,7,-2,6,https://www.suomifutis.com/veikkausliiga/
Ilves,6,1,2,3,8,11,-3,5,https://www.suomifutis.com/veikkausliiga/
IF Gnistan,6,1,2,3,5,11,-6,5,https://www.suomifutis.com/veikkausliiga/
FF Jaro,6,0,4,2,4,7,-3,4,https://www.suomifutis.com/veikkausliiga/
IFK Mariehamn,6,0,3,3,4,9,-5,3,https://www.suomifutis.com/veikkausliiga/
