Date,Home,Away,home_lambda,away_lambda,Source
16.05.2026,HJK,Ilves,1.729,0.806,https://www.suomifutis.com/veikkausliiga/
16.05.2026,IFK Mariehamn,KuPS,0.99,1.19,https://www.suomifutis.com/veikkausliiga/
16.05.2026,SJK,FC Inter,0.864,0.996,https://www.suomifutis.com/veikkausliiga/
16.05.2026,AC Oulu,TPS,1.407,1.056,https://www.suomifutis.com/veikkausliiga/
16.05.2026,IF Gnistan,FF Jaro,1.144,1.019,https://www.suomifutis.com/veikkausliiga/
18.05.2026,FC Lahti,VPS,0.926,0.876,https://www.suomifutis.com/veikkausliiga/
20.05.2026,Ilves,FC Inter,1.053,1.249,https://www.suomifutis.com/veikkausliiga/
20.05.2026,KuPS,FF Jaro,1.378,0.758,https://www.suomifutis.com/veikkausliiga/
22.05.2026,VPS,HJK,0.864,0.854,https://www.suomifutis.com/veikkausliiga/
23.05.2026,FC Inter,TPS,1.135,0.854,https://www.suomifutis.com/veikkausliiga/
23.05.2026,FF Jaro,IFK Mariehamn,1.195,0.812,https://www.suomifutis.com/veikkausliiga/
23.05.2026,Ilves,IF Gnistan,1.748,1.099,https://www.suomifutis.com/veikkausliiga/
23.05.2026,KuPS,FC Lahti,1.378,0.818,https://www.suomifutis.com/veikkausliiga/
23.05.2026,SJK,AC Oulu,1.068,1.234,https://www.suomifutis.com/veikkausliiga/
30.05.2026,HJK,IFK Mariehamn,1.554,0.614,https://www.suomifutis.com/veikkausliiga/
30.05.2026,IF Gnistan,SJK,1.144,1.099,https://www.suomifutis.com/veikkausliiga/
30.05.2026,KuPS,FC Inter,1.041,0.93,https://www.suomifutis.com/veikkausliiga/
30.05.2026,TPS,VPS,1.195,0.765,https://www.suomifutis.com/veikkausliiga/
30.05.2026,FC Lahti,Ilves,1.434,1.067,https://www.suomifutis.com/veikkausliiga/
31.05.2026,AC Oulu,FF Jaro,1.611,0.758,https://www.suomifutis.com/veikkausliiga/
13.06.2026,FC Inter,AC Oulu,1.214,0.932,https://www.suomifutis.com/veikkausliiga/
13.06.2026,Ilves,TPS,1.216,1.419,https://www.suomifutis.com/veikkausliiga/
13.06.2026,FF Jaro,HJK,0.801,1.056,https://www.suomifutis.com/veikkausliiga/
13.06.2026,VPS,KuPS,1.068,0.854,https://www.suomifutis.com/veikkausliiga/
13.06.2026,FC Lahti,SJK,1.144,0.876,https://www.suomifutis.com/veikkausliiga/
13.06.2026,IFK Mariehamn,IF Gnistan,1.33,0.987,https://www.suomifutis.com/veikkausliiga/
17.06.2026,HJK,FC Inter,1.041,0.753,https://www.suomifutis.com/veikkausliiga/
17.06.2026,Ilves,FF Jaro,1.394,1.019,https://www.suomifutis.com/veikkausliiga/
17.06.2026,TPS,KuPS,1.378,0.922,https://www.suomifutis.com/veikkausliiga/
17.06.2026,IF Gnistan,FC Lahti,1.144,1.099,https://www.suomifutis.com/veikkausliiga/
17.06.2026,SJK,VPS,0.926,0.876,https://www.suomifutis.com/veikkausliiga/
18.06.2026,AC Oulu,IFK Mariehamn,1.816,0.758,https://www.suomifutis.com/veikkausliiga/
23.06.2026,FC Lahti,TPS,0.998,1.131,https://www.suomifutis.com/veikkausliiga/
23.06.2026,KuPS,Ilves,1.729,0.996,https://www.suomifutis.com/veikkausliiga/
23.06.2026,VPS,AC Oulu,1.068,0.999,https://www.suomifutis.com/veikkausliiga/
23.06.2026,FC Inter,SJK,1.301,0.662,https://www.suomifutis.com/veikkausliiga/
23.06.2026,FF Jaro,IF Gnistan,1.33,0.876,https://www.suomifutis.com/veikkausliiga/
23.06.2026,IFK Mariehamn,HJK,0.801,1.19,https://www.suomifutis.com/veikkausliiga/
27.06.2026,Ilves,SJK,1.394,1.099,https://www.suomifutis.com/veikkausliiga/
27.06.2026,HJK,KuPS,1.286,0.798,https://www.suomifutis.com/veikkausliiga/
27.06.2026,IFK Mariehamn,FC Inter,0.801,1.123,https://www.suomifutis.com/veikkausliiga/
27.06.2026,IF Gnistan,VPS,0.926,1.099,https://www.suomifutis.com/veikkausliiga/
27.06.2026,TPS,FF Jaro,1.477,0.709,https://www.suomifutis.com/veikkausliiga/
27.06.2026,AC Oulu,FC Lahti,1.611,0.818,https://www.suomifutis.com/veikkausliiga/
04.07.2026,FC Lahti,IF Gnistan,1.434,0.876,https://www.suomifutis.com/veikkausliiga/
04.07.2026,FF Jaro,Ilves,1.33,1.067,https://www.suomifutis.com/veikkausliiga/
04.07.2026,SJK,TPS,0.998,1.131,https://www.suomifutis.com/veikkausliiga/
04.07.2026,VPS,IFK Mariehamn,1.289,0.657,https://www.suomifutis.com/veikkausliiga/
10.07.2026,VPS,SJK,1.144,0.709,https://www.suomifutis.com/veikkausliiga/
11.07.2026,FC Lahti,HJK,0.864,1.056,https://www.suomifutis.com/veikkausliiga/
11.07.2026,IF Gnistan,IFK Mariehamn,1.289,1.019,https://www.suomifutis.com/veikkausliiga/
11.07.2026,TPS,AC Oulu,1.378,1.077,https://www.suomifutis.com/veikkausliiga/
18.07.2026,HJK,VPS,1.116,0.662,https://www.suomifutis.com/veikkausliiga/
18.07.2026,AC Oulu,IF Gnistan,2.021,0.818,https://www.suomifutis.com/veikkausliiga/
18.07.2026,SJK,KuPS,1.068,1.056,https://www.suomifutis.com/veikkausliiga/
19.07.2026,FF Jaro,FC Inter,0.801,0.996,https://www.suomifutis.com/veikkausliiga/
20.07.2026,TPS,Ilves,1.852,0.932,https://www.suomifutis.com/veikkausliiga/
20.07.2026,IFK Mariehamn,FC Lahti,1.06,0.987,https://www.suomifutis.com/veikkausliiga/
24.07.2026,FF Jaro,SJK,1.06,0.876,https://www.suomifutis.com/veikkausliiga/
25.07.2026,IFK Mariehamn,AC Oulu,0.99,1.391,https://www.suomifutis.com/veikkausliiga/
25.07.2026,KuPS,VPS,1.116,0.818,https://www.suomifutis.com/veikkausliiga/
25.07.2026,Ilves,FC Lahti,1.394,1.099,https://www.suomifutis.com/veikkausliiga/
26.07.2026,FC Inter,IF Gnistan,1.631,0.662,https://www.suomifutis.com/veikkausliiga/
26.07.2026,HJK,TPS,1.203,0.854,https://www.suomifutis.com/veikkausliiga/
01.08.2026,TPS,IFK Mariehamn,1.664,0.709,https://www.suomifutis.com/veikkausliiga/
01.08.2026,VPS,FC Inter,0.864,0.806,https://www.suomifutis.com/veikkausliiga/
01.08.2026,AC Oulu,Ilves,2.021,0.996,https://www.suomifutis.com/veikkausliiga/
01.08.2026,FC Lahti,FF Jaro,1.144,0.812,https://www.suomifutis.com/veikkausliiga/
01.08.2026,IF Gnistan,KuPS,1.068,1.324,https://www.suomifutis.com/veikkausliiga/
03.08.2026,SJK,HJK,0.864,1.056,https://www.suomifutis.com/veikkausliiga/
07.08.2026,SJK,IF Gnistan,1.434,0.876,https://www.suomifutis.com/veikkausliiga/
08.08.2026,AC Oulu,HJK,1.217,0.985,https://www.suomifutis.com/veikkausliiga/
08.08.2026,FC Inter,FC Lahti,1.301,0.662,https://www.suomifutis.com/veikkausliiga/
08.08.2026,Ilves,IFK Mariehamn,1.571,1.019,https://www.suomifutis.com/veikkausliiga/
08.08.2026,KuPS,TPS,1.203,1.056,https://www.suomifutis.com/veikkausliiga/
08.08.2026,FF Jaro,VPS,0.858,0.876,https://www.suomifutis.com/veikkausliiga/
14.08.2026,VPS,TPS,0.998,0.916,https://www.suomifutis.com/veikkausliiga/
15.08.2026,FC Lahti,KuPS,1.068,1.056,https://www.suomifutis.com/veikkausliiga/
15.08.2026,AC Oulu,FC Inter,1.217,0.93,https://www.suomifutis.com/veikkausliiga/
15.08.2026,IFK Mariehamn,SJK,1.06,0.987,https://www.suomifutis.com/veikkausliiga/
16.08.2026,HJK,FF Jaro,1.378,0.614,https://www.suomifutis.com/veikkausliiga/
17.08.2026,IF Gnistan,Ilves,1.434,1.339,https://www.suomifutis.com/veikkausliiga/
21.08.2026,SJK,FC Lahti,1.144,0.876,https://www.suomifutis.com/veikkausliiga/
22.08.2026,TPS,FC Inter,1.116,0.87,https://www.suomifutis.com/veikkausliiga/
22.08.2026,FF Jaro,AC Oulu,0.99,1.234,https://www.suomifutis.com/veikkausliiga/
22.08.2026,Ilves,VPS,1.128,1.099,https://www.suomifutis.com/veikkausliiga/
22.08.2026,KuPS,IFK Mariehamn,1.554,0.758,https://www.suomifutis.com/veikkausliiga/
23.08.2026,HJK,IF Gnistan,1.729,0.662,https://www.suomifutis.com/veikkausliiga/
31.08.2026,AC Oulu,SJK,1.611,0.818,https://www.suomifutis.com/veikkausliiga/
31.08.2026,FC Inter,KuPS,1.214,0.798,https://www.suomifutis.com/veikkausliiga/
31.08.2026,IF Gnistan,TPS,0.998,1.419,https://www.suomifutis.com/veikkausliiga/
31.08.2026,IFK Mariehamn,FF Jaro,1.06,0.916,https://www.suomifutis.com/veikkausliiga/
31.08.2026,Ilves,HJK,1.053,1.324,https://www.suomifutis.com/veikkausliiga/
31.08.2026,VPS,FC Lahti,1.144,0.709,https://www.suomifutis.com/veikkausliiga/
